
Method: GET | URL: /table-name?page=1&size=4 | Date: 6/24/2024, 2:57:58 PM | IP: ::1 | Status: 404 | Response Time: 26.194 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: 
Method: GET | URL: /products?page=1&size=10 | Date: 6/24/2024, 2:58:17 PM | IP: ::1 | Status: 200 | Response Time: 81.395 ms | User-Agent: PostmanRuntime/7.37.3 | User: {"id":2,"email":"tesfayerusalem@gmail.com"} | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":0,\"page\":1,\"perPage\":10,\"data\":[]}"
Method: GET | URL: /table-name?page=1&size=10 | Date: 6/24/2024, 2:58:32 PM | IP: ::1 | Status: 404 | Response Time: 29.365 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: 
Method: GET | URL: /table-names?page=1&size=10 | Date: 6/24/2024, 2:59:08 PM | IP: ::1 | Status: 200 | Response Time: 51.604 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":8,\"page\":1,\"perPage\":10,\"data\":[{\"id\":8,\"tab_name\":\"product_images\",\"createdAt\":\"2024-06-24T08:26:53.000Z\",\"updatedAt\":\"2024-06-24T08:26:53.000Z\"},{\"id\":7,\"tab_name\":\"product_attributes\",\"createdAt\":\"2024-06-24T08:26:10.000Z\",\"updatedAt\":\"2024-06-24T08:26:10.000Z\"},{\"id\":6,\"tab_name\":\"category_attributes\",\"createdAt\":\"2024-06-24T08:25:27.000Z\",\"updatedAt\":\"2024-06-24T08:25:27.000Z\"},{\"id\":5,\"tab_name\":\"categories\",\"createdAt\":\"2024-06-24T08:24:15.000Z\",\"updatedAt\":\"2024-06-24T08:24:15.000Z\"},{\"id\":4,\"tab_name\":\"orders\",\"createdAt\":\"2024-06-24T08:22:52.000Z\",\"updatedAt\":\"2024-06-24T08:22:52.000Z\"},{\"id\":3,\"tab_name\":\"admins\",\"createdAt\":\"2024-06-22T08:54:25.000Z\",\"updatedAt\":\"2024-06-22T08:54:25.000Z\"},{\"id\":2,\"tab_name\":\"users\",\"createdAt\":\"2024-06-22T08:54:14.000Z\",\"updatedAt\":\"2024-06-22T08:54:14.000Z\"},{\"id\":1,\"tab_name\":\"products\",\"createdAt\":\"2024-06-22T08:00:22.000Z\",\"updatedAt\":\"2024-06-22T08:00:22.000Z\"}]}"
Method: GET | URL: /table-names?page=1&size=10 | Date: 6/24/2024, 2:59:36 PM | IP: ::1 | Status: 200 | Response Time: 40.435 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":8,\"page\":1,\"perPage\":10,\"data\":[{\"id\":8,\"tab_name\":\"product_images\",\"createdAt\":\"2024-06-24T08:26:53.000Z\",\"updatedAt\":\"2024-06-24T08:26:53.000Z\"},{\"id\":7,\"tab_name\":\"product_attributes\",\"createdAt\":\"2024-06-24T08:26:10.000Z\",\"updatedAt\":\"2024-06-24T08:26:10.000Z\"},{\"id\":6,\"tab_name\":\"category_attributes\",\"createdAt\":\"2024-06-24T08:25:27.000Z\",\"updatedAt\":\"2024-06-24T08:25:27.000Z\"},{\"id\":5,\"tab_name\":\"categories\",\"createdAt\":\"2024-06-24T08:24:15.000Z\",\"updatedAt\":\"2024-06-24T08:24:15.000Z\"},{\"id\":4,\"tab_name\":\"orders\",\"createdAt\":\"2024-06-24T08:22:52.000Z\",\"updatedAt\":\"2024-06-24T08:22:52.000Z\"},{\"id\":3,\"tab_name\":\"admins\",\"createdAt\":\"2024-06-22T08:54:25.000Z\",\"updatedAt\":\"2024-06-22T08:54:25.000Z\"},{\"id\":2,\"tab_name\":\"users\",\"createdAt\":\"2024-06-22T08:54:14.000Z\",\"updatedAt\":\"2024-06-22T08:54:14.000Z\"},{\"id\":1,\"tab_name\":\"products\",\"createdAt\":\"2024-06-22T08:00:22.000Z\",\"updatedAt\":\"2024-06-22T08:00:22.000Z\"}]}"
Method: GET | URL: /table-names | Date: 6/24/2024, 3:04:37 PM | IP: ::1 | Status: 200 | Response Time: 64.552 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":8,\"page\":1,\"perPage\":10,\"data\":[{\"id\":8,\"tab_name\":\"product_images\",\"createdAt\":\"2024-06-24T08:26:53.000Z\",\"updatedAt\":\"2024-06-24T08:26:53.000Z\"},{\"id\":7,\"tab_name\":\"product_attributes\",\"createdAt\":\"2024-06-24T08:26:10.000Z\",\"updatedAt\":\"2024-06-24T08:26:10.000Z\"},{\"id\":6,\"tab_name\":\"category_attributes\",\"createdAt\":\"2024-06-24T08:25:27.000Z\",\"updatedAt\":\"2024-06-24T08:25:27.000Z\"},{\"id\":5,\"tab_name\":\"categories\",\"createdAt\":\"2024-06-24T08:24:15.000Z\",\"updatedAt\":\"2024-06-24T08:24:15.000Z\"},{\"id\":4,\"tab_name\":\"orders\",\"createdAt\":\"2024-06-24T08:22:52.000Z\",\"updatedAt\":\"2024-06-24T08:22:52.000Z\"},{\"id\":3,\"tab_name\":\"admins\",\"createdAt\":\"2024-06-22T08:54:25.000Z\",\"updatedAt\":\"2024-06-22T08:54:25.000Z\"},{\"id\":2,\"tab_name\":\"users\",\"createdAt\":\"2024-06-22T08:54:14.000Z\",\"updatedAt\":\"2024-06-22T08:54:14.000Z\"},{\"id\":1,\"tab_name\":\"products\",\"createdAt\":\"2024-06-22T08:00:22.000Z\",\"updatedAt\":\"2024-06-22T08:00:22.000Z\"}]}"
Method: GET | URL: /table-names?page=1&size=10 | Date: 6/24/2024, 3:05:36 PM | IP: ::1 | Status: 200 | Response Time: 32.913 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":8,\"page\":1,\"perPage\":10,\"data\":[{\"id\":8,\"tab_name\":\"product_images\",\"createdAt\":\"2024-06-24T08:26:53.000Z\",\"updatedAt\":\"2024-06-24T08:26:53.000Z\"},{\"id\":7,\"tab_name\":\"product_attributes\",\"createdAt\":\"2024-06-24T08:26:10.000Z\",\"updatedAt\":\"2024-06-24T08:26:10.000Z\"},{\"id\":6,\"tab_name\":\"category_attributes\",\"createdAt\":\"2024-06-24T08:25:27.000Z\",\"updatedAt\":\"2024-06-24T08:25:27.000Z\"},{\"id\":5,\"tab_name\":\"categories\",\"createdAt\":\"2024-06-24T08:24:15.000Z\",\"updatedAt\":\"2024-06-24T08:24:15.000Z\"},{\"id\":4,\"tab_name\":\"orders\",\"createdAt\":\"2024-06-24T08:22:52.000Z\",\"updatedAt\":\"2024-06-24T08:22:52.000Z\"},{\"id\":3,\"tab_name\":\"admins\",\"createdAt\":\"2024-06-22T08:54:25.000Z\",\"updatedAt\":\"2024-06-22T08:54:25.000Z\"},{\"id\":2,\"tab_name\":\"users\",\"createdAt\":\"2024-06-22T08:54:14.000Z\",\"updatedAt\":\"2024-06-22T08:54:14.000Z\"},{\"id\":1,\"tab_name\":\"products\",\"createdAt\":\"2024-06-22T08:00:22.000Z\",\"updatedAt\":\"2024-06-22T08:00:22.000Z\"}]}"
Method: GET | URL: /table-names?page=1&size=10&tabName=product&createdAt=2024-06-23 | Date: 6/24/2024, 3:05:56 PM | IP: ::1 | Status: 500 | Response Time: 9.969 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"error\":\"Op is not defined\"}"
Method: GET | URL: /table-names?page=1&size=10&tabName=products&createdAt=2024-06-23 | Date: 6/24/2024, 3:06:07 PM | IP: ::1 | Status: 500 | Response Time: 5.952 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"error\":\"Op is not defined\"}"
Method: GET | URL: /table-names?page=1&size=10 | Date: 6/24/2024, 3:06:22 PM | IP: ::1 | Status: 200 | Response Time: 35.564 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"total\":8,\"page\":1,\"perPage\":10,\"data\":[{\"id\":8,\"tab_name\":\"product_images\",\"createdAt\":\"2024-06-24T08:26:53.000Z\",\"updatedAt\":\"2024-06-24T08:26:53.000Z\"},{\"id\":7,\"tab_name\":\"product_attributes\",\"createdAt\":\"2024-06-24T08:26:10.000Z\",\"updatedAt\":\"2024-06-24T08:26:10.000Z\"},{\"id\":6,\"tab_name\":\"category_attributes\",\"createdAt\":\"2024-06-24T08:25:27.000Z\",\"updatedAt\":\"2024-06-24T08:25:27.000Z\"},{\"id\":5,\"tab_name\":\"categories\",\"createdAt\":\"2024-06-24T08:24:15.000Z\",\"updatedAt\":\"2024-06-24T08:24:15.000Z\"},{\"id\":4,\"tab_name\":\"orders\",\"createdAt\":\"2024-06-24T08:22:52.000Z\",\"updatedAt\":\"2024-06-24T08:22:52.000Z\"},{\"id\":3,\"tab_name\":\"admins\",\"createdAt\":\"2024-06-22T08:54:25.000Z\",\"updatedAt\":\"2024-06-22T08:54:25.000Z\"},{\"id\":2,\"tab_name\":\"users\",\"createdAt\":\"2024-06-22T08:54:14.000Z\",\"updatedAt\":\"2024-06-22T08:54:14.000Z\"},{\"id\":1,\"tab_name\":\"products\",\"createdAt\":\"2024-06-22T08:00:22.000Z\",\"updatedAt\":\"2024-06-22T08:00:22.000Z\"}]}"
Method: GET | URL: /table-names?page=1&size=10&tabName=users&createdAt=2024-06-22 | Date: 6/24/2024, 3:07:05 PM | IP: ::1 | Status: 500 | Response Time: 17.984 ms | User-Agent: PostmanRuntime/7.37.3 | User: Unauthenticated | Req Body: {"tab_name":"product_images"} | Res Body: "{\"error\":\"Op is not defined\"}"
